latitude,longitude
1.33198706861747,103.938732580554
1.28733076703987,103.818338919994
1.37238494002145,103.828994204342
1.3631571201113,103.866737484646
1.35200744198417,103.837031803823
1.31708335109103,103.879417030673
1.28223514826381,103.843177616296
1.33458935951076,103.721519868629
1.3456395210229,103.944624481151
1.30078931480841,103.797625756738
1.27661461066321,103.843166992138
1.32084835041654,103.742891623681
1.27736683810318,103.818641695106
1.27336828250285,103.807626838954
1.27391379857001,103.807943567416
1.27271579716508,103.82211725658
1.28508825756819,103.832348785334
1.33809268551386,103.84473162196
1.33454816495637,103.851999137527
1.3384747524617,103.849513484035
1.33603882157063,103.852941556275
1.33523145909678,103.857036007166
1.3402608349586,103.854395279214
1.31502804429519,103.871620273635
1.28524640047048,103.845818885585
1.31188972115897,103.759166093858
1.31180301004196,103.759751321019
1.32294306204189,103.855137696535
1.32342175143826,103.85406806286
1.42501763803265,103.844747581861
1.43144768831222,103.828537609942
1.29234216757957,103.831189303546
1.29748567106686,103.804715225285
1.3397961360031,103.872090241567
1.39691417603694,103.888489618777
1.39159232727757,103.877060478847
1.40818996870647,103.904805657576
1.41456688638677,103.908252830309
1.38712226320812,103.76126288878
1.35521457121361,103.741825836536
1.2844248503218,103.850164578087
1.38238755827879,103.892403203249
1.33315924777343,103.91405388831
1.32055216480957,103.93553909635
1.31921699786807,103.863021377531
1.28882210205212,103.827358017197
1.30733651651517,103.856853966617
1.3452231627967,103.712799765872
1.30620584090733,103.850530969624
1.28369258928085,103.816992390295
1.28629777221659,103.804489277779
1.28550478314618,103.822049361292
1.37760053528611,103.772489583206
1.44921660555282,103.822399230842
1.28159564281228,103.848973726501
1.44388181695611,103.777203165702
1.43353885680037,103.779784899996
1.28011223513205,103.844827863123
1.29323622090658,103.802903901116
1.28499102169498,103.842578750107
1.32473884451035,103.93056047823
1.32418782817919,103.941132372619
1.31189235691653,103.839562687644
1.30576537802761,103.863891012338
1.30825156309798,103.885833217727
1.35386211773287,103.939726160039
1.27590752450201,103.791402660553
1.37343413973246,103.951543034782
1.30100146521405,103.854211645499
1.32413422253318,103.814165010384
1.32064829234987,103.88701902611
1.27921844263269,103.846606784092
1.36678764523637,103.839231344066
1.36410517096399,103.848254220438
1.36276891777383,103.855369790045
1.36824049310006,103.856351437414
1.37276992816898,103.854482811591
1.37448912101909,103.839214290038
1.38102486670548,103.840682307297
1.37219743270045,103.846519219268
1.36723014879667,103.839953165936
1.32035600765426,103.955474150677
1.32706240888967,103.933221544751
1.33324627868937,103.930602144469
1.33178125123252,103.924844235398
1.2878581025663,103.818402623449
1.33937596351523,103.775995008012
1.31615991374589,103.850225081031
1.38915172065006,103.988245749103
1.36422852315868,103.866536130299
1.37542896666561,103.882977999397
1.32644992167231,103.885043500019
1.32784956142548,103.887128535137
1.32344525333847,103.885449224256
1.31436772839327,103.770836740843
1.31326486994113,103.764510533078
1.3037819726711,103.764264410293
1.3068922760844,103.800362825517
1.29971330531884,103.797875477439
1.30941418731185,103.90182514721
1.30668431820832,103.935016747249
1.31624573118373,103.805636386821
1.32033178221424,103.904260878989
1.32146226027018,103.870004415152
1.3167281476983,103.898224315881
1.31099627311591,103.788230657145
1.30287548090781,103.863883249985
1.3151420505272,103.895609494855
1.28797543998733,103.829626834637
1.30811775909823,103.792773765463
1.31090802808558,103.794862936127
1.35383739101169,103.890081064953
1.35911942212642,103.885977616903
1.30241881353449,103.88394058022
1.28000481198881,103.826013285715
1.28695275198944,103.808127999318
1.28823055540002,103.839945947186
1.34531247026793,103.731579747132
1.34344213770991,103.737781231485
1.3412597060095,103.697404254467
1.34964224318434,103.71844754363
1.30739616009942,103.884130183315
1.43993283228134,103.800696448529
1.30228513841822,103.906338526157
1.30577514781108,103.915761950557
