polygon,year_completed
ADMIRALTY,2003.7894736842106
ALEXANDRA HILL,1984.851851851852
ALJUNIED,1987.2100840336134
ANAK BUKIT,1989.1904761904761
ANCHORVALE,2005.5976331360946
ANG MO KIO TOWN CENTRE,1984.2666666666667
BALESTIER,1979.2566371681417
BANGKIT,1987.75
BEDOK NORTH,1987.4225941422594
BEDOK RESERVOIR,1992.4242424242425
BEDOK SOUTH,1986.5272727272727
BENCOOLEN,1973.0
BENDEMEER,1992.326923076923
BIDADARI,2022.0
BISHAN EAST,1986.9435483870968
BOON KENG,1998.0666666666666
BOON LAY PLACE,1994.6627906976744
BOON TECK,1984.88
BRADDELL,1979.3333333333333
BRICKWORKS,2018.3711340206185
BUGIS,1976.0
BUKIT BATOK CENTRAL,1991.173076923077
BUKIT BATOK EAST,1985.719298245614
BUKIT BATOK SOUTH,1998.4102564102564
BUKIT BATOK WEST,1986.8939393939395
BUKIT HO SWEE,1981.551724137931
BUKIT MERAH,1983.357142857143
CHANGI POINT,1982.0
CHENG SAN,1984.8636363636363
CHINA SQUARE,1978.5
CHINATOWN,1991.0434782608695
CHOA CHU KANG CENTRAL,1990.5555555555557
CHOA CHU KANG NORTH,1995.232
CHONG BOON,1981.5802469135801
CITY HALL,1970.0
CLEMENTI CENTRAL,1991.8103448275863
CLEMENTI NORTH,1987.4848484848485
CLEMENTI WEST,1979.4864864864865
CLEMENTI WOODS,1996.078947368421
COMMONWEALTH,1969.7317073170732
COMPASSVALE,2008.9277108433735
CORONATION ROAD,1973.0
CRAWFORD,1976.5
DEPOT ROAD,2003.8846153846155
DOVER,1990.7142857142858
EVERTON PARK,1988.032258064516
FAJAR,1998.037037037037
FARRER COURT,1983.3333333333333
FARRER PARK,1990.6666666666667
FERNVALE,2012.372340425532
FRANKEL,1989.0
GALI BATU,1962.0
GEYLANG BAHRU,1983.2121212121212
GEYLANG EAST,1986.155844155844
GHIM MOH,1997.452380952381
GOMBAK,2003.6470588235295
GUILIN,1985.5483870967741
HENDERSON HILL,1988.7179487179487
HOLLAND DRIVE,1987.85
HONG KAH,1986.344827586207
HONG KAH NORTH,1986.6923076923076
HOUGANG CENTRAL,1991.1739130434783
HOUGANG EAST,1993.8045977011495
HOUGANG WEST,1987.6781609195402
JELEBU,1991.4888888888888
JOO SENG,1987.695652173913
JURONG GATEWAY,1986.0
JURONG WEST CENTRAL,1999.559829059829
KAKI BUKIT,1988.3037037037036
KAMPONG BUGIS,2000.5
KAMPONG JAVA,1988.3214285714287
KAMPONG TIONG BAHRU,1981.7575757575758
KAMPONG UBI,1991.701754385965
KANGKAR,1992.841463414634
KEAT HONG,2006.0545454545454
KEBUN BAHRU,1981.3484848484848
KEMBANGAN,1986.775
KHATIB,1988.4318181818182
KIM KEAT,1987.6785714285713
KOVAN,1984.5
LAVENDER,1984.8846153846155
LITTLE INDIA,1983.3636363636363
LORONG 8 TOA PAYOH,1977.0
LORONG AH SOO,1985.029702970297
LOWER SELETAR,2015.8
MACPHERSON,1980.8640776699028
MARGARET DRIVE,2011.775
MARINE PARADE,1978.3589743589744
MARYMOUNT,1992.0485436893205
MATILDA,2012.3833333333334
MEI CHIN,1978.7313432835822
MIDVIEW,1994.5785714285714
MOULMEIN,1972.0
NORTH COAST,1980.4705882352941
NORTHLAND,1985.5940594059407
NORTHSHORE,2020.9827586206898
PASIR PANJANG 2,1981.0
PASIR RIS CENTRAL,1997.6052631578948
PASIR RIS DRIVE,1991.4730769230769
PASIR RIS WEST,1994.0333333333333
PEARL'S HILL,1972.1904761904761
PEI CHUN,1984.975
PENG SIANG,1998.4590163934427
POTONG PASIR,1983.5777777777778
PUNGGOL FIELD,2003.131868131868
PUNGGOL TOWN CENTRE,2014.0266666666666
REDHILL,1995.9375
RIVERVALE,2000.8148148148148
SAUJANA,2000.6666666666667
SEMBAWANG CENTRAL,2001.5338983050847
SEMBAWANG EAST,2017.870588235294
SEMBAWANG NORTH,2001.344827586207
SENGKANG TOWN CENTRE,2002.5429864253394
SENJA,2008.2625
SENNETT,2020.2051282051282
SENOKO WEST,1997.0
SERANGOON CENTRAL,1986.6625
SERANGOON GARDEN,1987.2894736842106
SERANGOON NORTH,1992.6666666666667
SHANGRI-LA,1984.920634920635
SIMEI,1990.7083333333333
SUNGEI ROAD,1981.125
SUNSET WAY,1984.142857142857
SWISS CLUB,1966.0
TAI SENG,1993.8
TAMAN JURONG,1998.5681818181818
TAMPINES EAST,1990.9979919678715
TAMPINES NORTH,2020.2173913043478
TAMPINES WEST,1992.679856115108
TANGLIN HALT,1981.2307692307693
TANJONG RHU,1972.2142857142858
TEBAN GARDENS,1989.4920634920634
TECK WHYE,1990.7826086956522
TELOK BLANGAH DRIVE,1994.1267605633802
TELOK BLANGAH RISE,1978.9375
TELOK BLANGAH WAY,1983.9411764705883
TIONG BAHRU,1965.65625
TIONG BAHRU STATION,1997.6382978723404
TOA PAYOH CENTRAL,1991.021505376344
TOA PAYOH WEST,1984.8292682926829
TOH GUAN,1994.811320754717
TOWNSVILLE,1989.112676056338
TRAFALGAR,2003.6705882352942
TYERSALL,1981.6666666666667
ULU PANDAN,1974.0
UPPER PAYA LEBAR,1985.918918918919
UPPER THOMSON,1987.0384615384614
VICTORIA,1983.1
WATERWAY EAST,2012.1352657004832
WENYA,2000.4
WOODGROVE,1989.7410714285713
WOODLANDS EAST,2000.8115942028985
WOODLANDS REGIONAL CENTRE,1982.0
WOODLANDS SOUTH,2001.0677966101696
WOODLANDS WEST,1989.5564516129032
YEW TEE,1997.6946564885495
YIO CHU KANG WEST,1983.076923076923
YISHUN CENTRAL,1993.6
YISHUN EAST,2005.4435483870968
YISHUN SOUTH,1992.259493670886
YISHUN WEST,1984.751633986928
YUHUA EAST,1983.9382716049383
YUHUA WEST,1986.241935483871
YUNNAN,1992.3829787234042
